tax_id	abundance	superkingdom	phylum	class	order	family	genus	species	estimated counts
1280	0.21872794576784574	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	96219.95443889571
562	0.1528477198181418	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	67238.7818820393
1423	0.20692540055323888	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	91027.93218117366
28901	0.12156027980197034	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	53475.21800684537
1351	0.14499006269475795	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	63782.143509862886
1639	0.15190021982765323	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	66821.97000372344
287	0.0030483715363924624	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	1340.9999774597989
unmapped	0.0								1.0
mapped_filtered	0.0								1.0
mapped_unclassified	0.0								0.0
